product_name,energy_100g,sugars_100g,fat_100g,saturated_fat_100g,proteins_100g,salt_100g,sodium_100g,fiber_100g,carbohydrates_100g,trans_fat_100g,cholesterol_100g,vitamin_a_100g,vitamin_c_100g,calcium_100g,iron_100g,potassium_100g,nova_group,additives_n,ingredients_from_palm_oil_n,nutrition_grade
Bouchées Raisins Myrtilles,1905.0,24.0,21.0,2.1,11.0,0.01,0.004,9.3,51.0,,,,,,,,4.0,1.0,,c
Mezcla de semillas,2373.0,1.4,47.0,5.5,20.0,0.03,0.012,14.0,5.7,,,,,,,,1.0,0.0,,a
Crumpets,818.0,1.0,0.5,0.1,5.9,1.36,0.544,1.3,40.5,,,,,,,,3.0,0.0,,c
Beurre D’arachide Croquant,2706.66666666667,6.66666666666667,53.3333333333333,6.66666666666667,20.0,0.916666666666667,0.366666666666667,6.66666666666667,20.0,0.0,0.0,,,0.0666666666666667,0.00333333333333333,0.5,4.0,0.0,0.0,c
Greek Yogurt Vanilla,310.0,9.41176470588235,0.0,0.0,8.23529411764706,0.0882352941176471,0.0352941176470588,0.0,10.0,0.0,0.00588235294117647,,,0.1,0.000117647058823529,0.129411764705882,4.0,3.0,0.0,a
Chicorée café,8.5,0.0,0.0,0.0,0.2,,,0.0,0.3,,,,,,,,1.0,0.0,0.0,unknown
Serpentini,1531.0,3.7,2.0,0.4,12.0,0.0,0.0,3.6,72.0,,,,,,,,1.0,0.0,0.0,a
Panzani spaghetti 3 minutes 500g,1531.0,3.7,2.0,0.4,12.0,0.0,0.0,3.6,72.0,,,,,,,,1.0,0.0,0.0,a
Boission au Soja,234.0,5.6,1.9,0.3,3.4,0.12,0.048,,6.2,,,,,0.12,,,4.0,1.0,0.0,b
"Purée de carotte, potiron, patate douce cuisinée à la crème",313.0,3.9,5.4,3.7,1.0,0.52,0.208,2.2,4.8,,,,,,,,3.0,0.0,0.0,c
Framboise Passion,349.0,9.4,2.1,0.3,3.7,0.07,0.028,,10.2,,,,,,,,4.0,0.0,0.0,b
Chicorée Café Soluble,1423.0,6.2,0.02,0.0,7.7,0.37,0.148,8.5,72.0,,,,,,,,1.0,0.0,0.0,unknown
Gran misto,1634.0,0.0,29.0,20.0,33.0,1.4,0.56,1.4,0.0,,,,,,,,3.0,1.0,0.0,d
Fromage blanc nature,295.0,3.3,3.0,1.9,7.5,0.1,0.04,0.0,3.3,,,,,0.12,,,3.0,0.0,0.0,a
Coquillettes Bio,1504.0,3.5,1.5,0.1,12.0,0.0,0.0,2.5,72.0,,,,,,,,1.0,0.0,0.0,b
Tofu Lactofermenté nature,805.0,0.0,12.0,1.8,21.0,0.0,0.0,0.5,0.0,,0.0,,,,,,3.0,0.0,0.0,a
Whole Grain Rye Bread,848.0,2.2,1.0,0.1,5.2,1.15,0.46,7.7,38.9,,,0.0,0.0,,0.0,,3.0,0.0,0.0,a
Five Bean Salad,523.0,2.1,0.9,0.0,7.1,0.725,0.29,6.2,18.8,,,,,,,,4.0,2.0,0.0,a
Rice crispies multigrain shapes,1718.86666666667,15.0,3.1,0.6,7.5,0.18,0.072,7.5,83.3333333333333,,,,,0.456,0.008,,4.0,3.0,0.0,b
Alpro unsweetened soya,138.0,0.0,1.8,0.3,3.3,0.09,0.036,0.6,0.5,,,,,0.12,,,4.0,2.0,0.0,b
Leader Chips Chili,2458.0,0.5,37.9,17.8,7.0,1.5,0.6,,55.1,,,,,,,,4.0,3.0,,e
Ferrero Collection,2600.0,33.6,48.3,29.5,7.4,0.267,0.1068,0.0,38.6,,,,,,,,4.0,5.0,1.0,e
Fusilli No. 28 Le Integrali,1498.0,3.3,2.0,0.3,15.0,0.06,0.024,8.0,65.0,,,,,,,,1.0,0.0,0.0,a
Diet arándanos y frambuesas,193.0,4.2,0.3,0.0,0.5,0.0,0.0,2.9,12.2,,,0.0,0.0,,0.0,,4.0,7.0,0.0,a
Crème glacée vanille,770.0,21.0,8.4,5.6,2.0,0.14,0.056,0.5,25.0,,,,,,,,4.0,2.0,0.0,d
Microwave Basmati Rice,559.0,0.1,0.7,0.1,3.1,0.00125,0.008,1.4,27.6,,,,,,,,3.0,0.0,0.0,b
LOVE CORN bbq,1862.5,2.85714285714286,12.8571428571429,1.42857142857143,7.14285714285714,1.05357142857143,0.421428571428571,7.14285714285714,71.0714285714286,,,,,,,,4.0,0.0,0.0,b
Coconut Water,73.1,3.0,0.0,0.0,0.0,0.16,0.064,0.0,4.3,,,,,,,,,0.0,0.0,c
Mix frutos rojos,163.0,5.2,0.0,0.0,0.9,0.0,0.0,,5.5,,,0.0,0.0,,0.0,,1.0,0.0,0.0,a
Purée de sésame tahin,2752.0,1.0,60.0,9.3,24.0,0.07,0.028,8.0,5.1,,,,,,,,1.0,0.0,0.0,a
