product_name,energy_100g,sugars_100g,fat_100g,saturated_fat_100g,proteins_100g,salt_100g,sodium_100g,fiber_100g,carbohydrates_100g,trans_fat_100g,cholesterol_100g,vitamin_a_100g,vitamin_c_100g,calcium_100g,iron_100g,potassium_100g,nova_group,additives_n,ingredients_from_palm_oil_n,nutrition_grade
Fromage Blanc Nature,662.0,,11.0,,5.0,,,,10.0,,,,,,,,3.0,0.0,0.0,unknown
Jben,984.0,0.0,21.0,15.0,8.0,0.46,0.184,0.0,3.5,,,,,,,,4.0,1.0,0.0,d
Cream cheese,1061.0,0.0,18.0,0.0,10.0,0.0,0.0,0.0,3.1,,,,,,,,3.0,0.0,0.0,a
cruesly mélange de noix,1913.0,12.0,19.0,2.0,8.5,0.0,0.0,10.0,57.0,,,,,,0.0021,,4.0,1.0,0.0,b
Tartines craquantes au sarrasin imp,1631.0,2.6,2.8,0.6,13.4,0.68,0.272,4.4,75.0,,,,,,0.0038,,3.0,0.0,0.0,a
Cheddar,1032.0,6.0,21.0,12.0,9.0,1.5,0.6,,6.0,,,,,,,,4.0,1.0,,d
Pain de mie american sandwich complet sans sucres ajoutés 600g,1178.0,3.6,6.8,0.5,7.7,1.1,0.44,8.1,43.0,,,,,,,,4.0,0.0,,b
Cappy PULPY,165.0,7.0,0.0,0.0,0.0,0.126,0.0504,,9.0,,,,,,,,4.0,8.0,0.0,e
14 Maxi Tranches complet sans sucres ajoutés,1111.0,2.9,5.2,0.4,8.5,1.1,0.44,7.5,42.0,,,,,,,,4.0,0.0,0.0,a
Goldium crémeux,932.0,3.0,24.0,14.0,5.0,0.32,0.128,0.1,3.0,,,,,,,,4.0,0.0,,d
Pain de mie Bio grandes tranches céréales & graines 500g,1306.0,4.9,8.6,0.9,9.2,1.0,0.4,4.0,47.0,,,0.0,0.0,0.0420168067226891,0.0,0.448179271708683,4.0,1.0,0.0,c
Frommage fondu,1248.0,4.0,26.0,16.5,7.0,1.2,0.48,0.0,9.0,,,,,,,,3.0,0.0,,d
Assil vanille,399.0,8.0,2.7,1.8,3.4,0.0,0.0,2.0,14.0,,,,,0.0,,,,0.0,0.0,c
Carré Frais,360.0,2.9,0.3,0.2,16.0,1.3,0.52,,4.5,,,,,0.17,,,3.0,0.0,0.0,b
كيفير,173.0,0.0,2.5,1.8,3.0,0.0,0.0,,4.8,,,,,0.13,,,1.0,0.0,,b
Jamila رايبي,306.0,9.0,1.7,1.1,1.9,0.0,0.0,0.0,12.4,,,,,,,,4.0,0.0,0.0,e
Flocons d'avoine,1524.0,1.7,7.1,1.3,11.0,0.02,0.008,11.0,58.0,,,0.0,0.0,,0.0,,1.0,0.0,0.0,a
le blanc nature 900g araai,991.6,0.0,23.5,0.0,4.9,0.0,0.0,0.0,4.9,,,,,,,,3.0,0.0,,a
Almonds natural,2567.0,4.8,53.3,4.3,24.5,0.01,0.004,12.1,4.8,,,,,,,,1.0,0.0,0.0,a
"Muesli Superfruits Raisins, cassis, cranberry, myrtille",1526.0,13.0,6.0,0.857142857142857,12.0,0.04,0.016,10.0,60.0,,,,,,,,3.0,0.0,0.0,a
BjORG AMANDE ALMOND SANS SUCRE- NO SUGAR,102.0,0.5,1.7,0.2,0.7,0.05,0.02,0.5,1.6,,,,,0.06,,,4.0,2.0,0.0,b
Avoine - Boisson biologique,187.0,4.0,1.5,0.3,0.5,0.09,0.036,0.5,7.0,,,,,,,,3.0,0.0,0.0,c
Cashew Nuts,2488.0,6.5,47.6,9.0,20.5,0.02,0.008,5.2,19.8,,,0.0,0.0,,0.0,,1.0,0.0,0.0,b
Levure de bière,1356.0,1.2,4.6,0.8,46.0,0.32,0.128,25.0,12.0,,,,,,,,1.0,0.0,0.0,not-applicable
b,942.0,4.3,21.0,14.0,5.4,0.75,0.3,0.2,4.3,,,,,,,,,1.0,,d
100% mie complet 500g,1053.0,5.5,4.3,0.4,7.5,1.1,0.44,6.5,42.0,,,0.0,0.0,,0.0,,4.0,0.0,0.0,b
fromage herbes milky food,953.0,0.0,21.0,0.0,4.8,0.0,0.0,0.0,4.0,,,,,,,,3.0,0.0,,b
Protein Cacahuetes🥜 & Chocolat🍫,2038.0,17.2,28.3,7.4,25.6,0.94,0.376,11.0,27.5,,,,,0.0,0.0,,4.0,3.0,0.0,not-applicable
Chocolate con leche y almendras,2181.33333333333,0.0,32.0,26.6666666666667,5.33333333333333,0.28,0.112,0.0,53.3333333333333,0.0,0.0,,,0.0,0.0,0.0,4.0,1.0,1.0,d
St Môret,851.0,3.0,17.8,13.2,8.3,1.2,0.48,,3.0,,,,,,,,4.0,0.0,0.0,d
Harrys brioche tressee nature au sucre perle sans additifs 500g,1496.0,13.0,13.0,1.0,8.6,0.8,0.32,4.5,49.0,,,,,,,,4.0,0.0,0.0,c
Pain de mie american sandwich rustique sans sucres ajoutés 500g,1233.0,3.0,8.0,0.8,11.0,1.0,0.4,8.7,40.0,,,,,,,,4.0,0.0,0.0,a
Muesli avoine chocolat bio,1629.6,8.2,8.8,3.3,12.0,0.1,0.04,10.0,60.0,,,,,,,,4.0,1.0,0.0,a
CORN FLAKES,1604.0,8.0,0.9,0.2,7.0,1.1,0.44,3.0,84.0,0.0,0.0,,,,0.008,,3.0,0.0,0.0,d
Hule D'olive,4.0,0.0,90.0,13.0,0.0,0.0,0.0,66.0,0.0,,,,,,,,,0.0,0.0,b
رايبي جودة,324.08,13.5,1.38,0.8,2.48,0.0,0.0,0.0,13.58,,,,,,,,,1.0,0.0,e
غلال القمح,4.0,7.5,3.0,2.2,3.5,0.0,0.0,1.1,16.0,,,,,,,,4.0,0.0,0.0,c
Menguy's Beurre de cacahuètes creamy,2607.0,8.7,52.0,9.5,25.0,0.86,0.344,6.7,12.0,,,,,,,,3.0,0.0,0.0,c
Beau & bon Céréales & graines,1206.0,3.5,6.5,0.7,12.0,1.0,0.4,6.0,42.0,,,,,,,,4.0,0.0,0.0,b
Lightly sea salted crisps,1981.4,0.64,27.0,2.4,6.2,0.83,0.332,5.5,49.0,,,0.0,0.0,,0.0,,3.0,0.0,0.0,c
Marmite Yeast Extract,1100.0,1.2,0.5,0.1,34.0,10.8,4.32,,30.0,,,0.0,0.0,,0.0,,4.0,0.0,0.0,e
Houmous extra - Pois chiches français & graines de sésame,1306.0,0.1,26.8,2.6,6.9,1.16,0.464,6.15,8.7,,,,,,,,3.0,1.0,0.0,c
Aïn Soltane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.07,,0.001,,0.0,,a
Almond Drink Sugar-Free,56.0,0.0,1.2,0.1,0.5,0.15,0.06,0.2,0.0,,,,,,,,4.0,1.0,0.0,b
Croissance réduit en sucre,270.0,0.8,2.6,0.0,2.5,0.0775,0.031,0.0,7.7,,,6.5e-05,0.009,0.08,0.0012,0.127,4.0,1.0,0.0,not-applicable
Pain de mie american sandwich complet sans sucres ajoutés maxi 900g,1178.0,3.6,6.8,0.5,7.7,1.1,0.44,8.1,43.0,,,,,,,,4.0,0.0,,b
Pringles Original,2227.0,1.4,31.0,6.6,5.9,1.1,0.44,3.5,56.0,,,,,,,,4.0,2.0,1.0,d
Tartines craquantes sarrasin,1569.9,1.5,1.7,0.4,12.0,0.48,0.192,3.5,75.0,,,,,,,,3.0,0.0,0.0,b
Pain complet 3 céréales,824.0,2.0,2.9,0.4,5.0,1.1,0.44,11.0,32.0,,,,,,,,3.0,0.0,0.0,a
pain grillé pelletier,1636.0,2.6,4.9,2.1,12.0,1.8,0.72,5.1,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,d
"Muesli bio 36% fruits, noix & graines",1569.0,18.9,8.4,2.8,9.3,0.03,0.012,8.5,60.7,,,,,,0.0024,0.688,1.0,0.0,0.0,c
Biscottes 6 Céréales,1686.0,3.2,7.6,2.3,13.0,1.6,0.64,5.2,67.0,,,,,,,,4.0,3.0,1.0,d
Tartine sans huile de palme,1294.0,0.5,35.0,7.6,0.5,0.2,0.08,,0.5,,,0.0008,,,,,4.0,1.0,0.0,c
Activia Céréales,435.24,14.3,3.3,2.0,3.4,0.0,0.0,1.53,14.3,,,,,,,,4.0,1.0,0.0,c
Amande,131.1,3.3,1.2,0.2,0.5,0.06,0.024,,4.6,,,,,,,,3.0,0.0,0.0,c
Country Crisp - Chocolat noir 70% cacao,1874.0,22.0,15.0,3.8,9.0,0.03,0.012,5.8,65.0,,,,,,0.0038,,4.0,1.0,0.0,d
Chocolat noir Equateur Bio,2641.0,14.0,55.3,34.0,9.0,0.01,0.004,11.5,20.6,,,,,,,,2.0,0.0,0.0,d
Carottes rapees citron dnp 320g,301.0,4.5,4.5,0.3,1.0,0.71,0.291,3.0,5.5,,,,,,,,4.0,3.0,0.0,a
Jason’s sourdough,974.2,2.4,0.8,0.1,10.1,0.905,0.362,2.9,44.1,,,,,,,,3.0,0.0,0.0,b
ベイクドビーンズ,336.2,5.0,0.2,0.1,4.7,0.59,0.236,3.7,12.9,,,,,,,,4.0,0.0,0.0,a
Fromage blanc nature,941.4,,21.0,,3.8,0.0,0.0,0.0,3.6,,,,,,,,1.0,0.0,,unknown
Poudre stevia,7.0,0.0,0.2,0.2,0.0,0.0,0.0,,99.0,,,,,,,,4.0,2.0,0.0,not-applicable
GALETTES EXTRA-FINES MAΪS,1612.0,0.8,4.0,0.5,9.2,0.3,0.12,6.2,74.0,,,0.0,0.0,,0.0,,3.0,0.0,0.0,a
Oméga 3® Doux,1924.0,0.0,52.0,17.0,0.0,0.4125,0.165,,0.0,,,,,,,,4.0,4.0,0.0,d
Krisprolls complets,1687.0,7.0,6.2,2.1,12.0,1.6,0.64,7.7,70.0,,,,,,,,3.0,0.0,0.0,d
مارغرين المائدة,2826.0,0.0,75.0,34.0,0.1,0.5,0.2,0.0,0.2,0.0,,,,,,,4.0,7.0,,d
Extra moelleux nature,1202.0,6.5,5.2,0.5,8.1,1.18,0.472,5.0,47.1,,,,,,,,4.0,0.0,0.0,c
Skyr,245.2,3.6,0.5,0.1,9.5,0.15,0.06,0.5,3.6,,,0.0,0.0,,0.0,,1.0,0.0,0.0,a
Kiri carré 8p,950.0,2.0,20.0,13.0,9.0,1.6,0.64,,3.5,,,,,0.5,,,4.0,4.0,,d
Cuites au four nature,1860.0,5.3,13.0,1.4,5.9,0.84,0.336,6.2,73.0,,,,,,,,4.0,2.0,0.0,c
برس اب الخوخ جودة 1لتر,151.2,4.5,0.0,0.0,0.1,0.0025,0.001,0.2,8.7,,,,0.028,,,,4.0,1.0,0.0,b
Grilletines blé complet,1760.0,7.3,10.0,2.0,13.0,0.87,0.348,6.7,65.0,,,,,,,,4.0,2.0,0.0,c
Wraps,1264.0,2.1,5.2,1.2,9.1,1.0,0.4,1.6,53.2,,,,,,,,4.0,4.0,0.0,c
Pâte d'arachide,2435.0,11.2,48.2,14.0,24.3,0.7,0.28,6.5,24.8,,,,,,,,4.0,0.0,,c
Granola Chocolat,1765.0,12.0,13.0,3.1,10.0,0.01,0.004,7.5,62.0,,,,,,,,4.0,1.0,0.0,c
Lentilles préparées 1/2,394.0,0.5,0.5,0.1,6.6,0.76,0.304,3.1,14.0,,,0.0,0.0,,0.0,,4.0,1.0,0.0,b
Croustillant 3 noix,1847.0,14.0,17.0,2.1,11.0,0.02,0.008,9.9,56.0,,,0.0,0.0,,0.0,,4.0,2.0,0.0,b
Tranches Au Goût Cheddar,789.0,0.0,8.0,10.0,8.0,3.25,1.3,,21.0,,,,,,,,,0.0,,e
Merguez Végétale,913.0,0.6,16.0,1.3,12.0,0.74,0.296,6.1,4.8,,,,,,,,4.0,3.0,0.0,a
Creamy Peanut Butter,2531.0,11.4,43.4,9.4,26.9,1.0,0.4,7.7,16.6,,,0.0,0.0,,0.0,,3.0,0.0,0.0,c
Excellence Noir Délicat Doux 85% Cacao,2526.0,14.0,55.0,33.0,8.9,0.02,0.012,0.0,19.0,,,0.0,0.0,,0.0,,3.0,0.0,0.0,e
Golden,1943.0,27.0,14.5,6.7,6.3,0.43,0.172,0.2,76.0,,,,,0.144,0.012,,4.0,2.0,,e
Miel Pops,1625.7,22.0,1.5,0.1,5.2,0.4,0.16,4.6,85.0,,,,,,,,4.0,1.0,0.0,c
"Lentilles cuisinées, riz & soja",638.0,1.6,6.4,1.1,6.4,0.72,0.288,8.9,13.0,,,,,,,,3.0,0.0,0.0,b
Grains and seeds ciabattin,995.861783571281,1.44837575005173,2.68984067866749,0.413821642871922,10.552451893234,0.812124974136147,0.324849989654459,4.7589488930271,39.9337885371405,,,0.0,0.0,,0.0,,3.0,0.0,0.0,a
SPAGHETTI No 5,1521.0,3.5,2.0,0.5,13.0,0.01,0.004,3.0,71.0,,,,,,,,1.0,0.0,0.0,a
Heudebert Fibre +,1618.0,5.4,5.7,2.2,15.0,1.1,0.44,12.0,63.0,,,,,,,,4.0,1.0,1.0,c
Muesli croustillant tradition,1838.9,20.0,13.0,1.7,9.1,0.05,0.02,5.9,68.0,,,,,,,,3.0,0.0,0.0,c
Nature aux Amandes - Végétal soja & amande,226.0,2.2,2.8,0.4,3.9,0.25,0.1,1.1,2.3,,,0.0,0.0,0.12,0.0,,4.0,5.0,0.0,a
Crousti' Avoine Chocolat,1747.0,14.0,13.0,4.4,10.0,0.1,0.04,9.5,60.0,,,,,,,,4.0,2.0,0.0,c
Nutella,2252.0,56.3,30.9,10.6,6.3,0.17,0.068,,57.5,,,,,,,,4.0,1.0,1.0,e
Frische Milch & Rahm / Lait frais & Crème,1269.0,2.0,29.0,19.5,9.0,1.3,0.52,,2.0,,,,,0.67,,,4.0,0.0,0.0,d
NAKD Cacahuètes - 140g (4x1p),1843.0,35.0,23.0,4.0,12.0,0.58,0.232,9.3,42.0,,,,,,,,,0.0,0.0,not-applicable
Mixed fruit and nut,2100.2,35.7,31.7,3.0,10.8,0.02,0.008,6.9,40.5,,,0.0,0.0,,0.0,,3.0,0.0,0.0,d
Muesli aux fruits,1509.0,10.0,6.0,2.5,11.0,0.02,0.008,10.0,60.0,,,,,,,,3.0,0.0,0.0,a
Be Nuts ! 100 % Cacahuète,2604.0,6.1,48.0,6.3,27.0,0.01,0.004,9.6,15.0,,,,,,,,1.0,0.0,,a
Delicia double concentre de tomates,386.0,0.0,0.09,0.0,4.13,0.0,0.0,0.0,18.35,,,,,,,,,0.0,0.0,a
Fromage blanc au lait de brebis,398.0,4.5,6.3,4.3,5.3,0.11,0.044,,4.5,,,,,0.16,,,3.0,0.0,0.0,c
Pindakaas,2434.0,2.75,48.2,9.9,24.3,1.25,0.5,0.0,24.8,,,,,,,,4.0,0.0,,d
INTEGRALE WHOLE WHEAT PENNE RIGATE,1466.0,3.5,2.5,0.5,13.0,0.01,0.004,8.0,64.0,,,,,,0.0033,,1.0,0.0,0.0,a
Houilor,3700.0,0.0,100.0,12.6,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,b
double zéro Cerise,202.0,0.0,0.2,0.0,3.4,0.0,0.0,,8.23,,,,,0.134,,,4.0,1.0,0.0,a
Philadelphia Original,943.5,4.3,21.0,14.0,5.4,0.7375,0.295,0.2,4.3,,,,,,,,4.0,1.0,0.0,d
BEURRE DE CACAHUETES 99% CACAHUETES,2453.4,5.9,45.7,8.6,29.4,0.69,0.271,8.4,11.5,,,,,,,,3.0,0.0,0.0,c
Cranberries,1388.4,67.8,0.9,0.1,0.5,0.03,0.004,6.4,76.2,,,,,,,,3.0,0.0,0.0,d
Épeautre noisette,319.0,7.6,3.0,0.3,1.0,0.09,0.036,0.5,11.0,,,,,,,,3.0,0.0,0.0,e
Tartines craquantes à la châtaigne,1616.0,6.5,1.8,0.5,6.7,0.3,0.12,4.3,83.0,,,,,,,,,0.0,0.0,b
sourdough bread,1004.0,2.1,0.7,0.1,9.7,0.8,0.315,3.0,46.4,,,,,,,,3.0,0.0,0.0,b
Muesli sans sucres ajoutés raisin figue datte abricot,1485.0,14.0,5.8,0.9,11.0,0.03,0.012,10.0,59.0,,,,,,,,3.0,0.0,0.0,a
La Biscotte 96% de céréales,1722.0,6.8,7.3,3.4,11.0,1.2,0.48,3.6,73.0,,,,,,,,4.0,3.0,1.0,d
Muesli Crunchy,1678.0,3.2,12.0,1.4,8.8,0.08,0.032,23.0,52.0,,,,,,,,4.0,0.0,0.0,a
JBEN CHERGUI,782.4,0.1,16.0,11.2,8.4,0.6,0.24,,2.8,,,,,,,,4.0,2.0,,d
Aicha Tomato Paste,496.0,9.0,0.4,0.0,4.6,0.5,0.2,3.0,23.7,,,,,,,,,0.0,0.0,c
Muscly la force pour grandir,674.0,15.7,7.5,0.0,7.6,0.0,0.0,0.0,15.7,,,,,0.14,,,4.0,0.0,0.0,c
Danone (zéro sucre ajouté zéro matière grasse),21.5,8.1,0.1,,3.4,0.0,0.0,,16.28,,,,,0.134,,,,0.0,,unknown
Paprika čipsiبرنكز برتقالي,2089.0,6.1,28.0,2.7,6.5,1.3,0.52,5.2,53.0,,,,,,,,4.0,6.0,0.0,d
Sea salt & cider vinegar chips,2095.5,1.3,27.2,2.3,6.4,1.475,0.59,6.3,54.7,,,0.0,0.0,,0.0,,4.0,0.0,0.0,d
Boisson Noisette,286.0,4.0,4.5,0.4,1.0,0.05,0.02,1.1,5.5,,,,,0.149,,,4.0,2.0,0.0,d
Tartines p’tit dej,1127.0,5.3,4.3,0.5,10.0,1.0,0.4,6.2,44.0,,,,,,,,,0.0,0.0,b
Confiture fraise sans sucre ajoutes,374.0,21.7,0.5,0.01,0.6,0.02,0.008,8.9,21.7,,,,,,,,4.0,1.0,0.0,b
Yaos Yaourt à la Grecque Nature,420.0,3.5,7.9,5.3,3.1,0.12,0.048,0.0,3.5,,,,,,,,3.0,0.0,0.0,c
Honey,1360.0,80.0,0.0,,0.0,5e-05,2e-05,,80.0,,,,,,,,2.0,0.0,0.0,unknown
Country Crisp 4 Noix,1949.0,18.0,20.0,2.6,11.0,0.03,0.012,6.1,58.6,,,,,,,,4.0,0.0,0.0,c
Soja nature sans sucre ajouté bio,178.0,0.5,2.6,0.6,3.9,0.03,0.012,0.5,0.7,,,,,,,,4.0,0.0,0.0,b
pain Burger complet,1139.0,4.8,5.0,0.6,9.4,1.1,0.44,5.8,44.0,,,,,,,,4.0,0.0,,c
Velouté Fraise,396.0,9.0,3.0,2.0,2.3,0.0,0.0,,14.7,,,,,,,,,0.0,0.0,c
Dessert gourmand choco,900.0,10.0,10.0,0.833333333333333,3.33333333333333,0.0,0.0,1.66666666666667,31.6666666666667,,,,,0.235,,,4.0,1.0,0.0,c
Vip crema gold,0.5,,0.5,0.5,0.5,1.25,0.5,0.5,0.5,,,,,,,,,0.0,0.0,unknown
Pringles Original,2227.0,1.4,31.0,6.6,5.9,1.1,0.44,3.5,56.0,,,,,,,,4.0,2.0,0.0,d
r,950.0,2.0,20.0,13.0,9.0,1.6,0.64,,3.5,,,,,0.5,,,4.0,4.0,,d
Tresor - Choco Nut,1914.5,26.0,16.0,4.5,7.1,0.94,0.37,3.6,69.0,,,,,,0.0024,,4.0,4.0,0.0,e
Margarine omega 3 doux,1924.0,0.0,52.0,15.0,0.0,0.42,0.168,,,,,,,,,,4.0,2.0,1.0,c
Les Fourrées  -  Beurre de Cacahuète & Cacao,1846.0,13.0,17.0,3.0,13.0,0.13,0.052,6.0,58.0,,,,,,,,3.0,0.0,0.0,b
Douceur fromage frais,1072.0,3.0,24.0,14.65,7.01,0.61,0.244,,3.1,,,,,,,,4.0,1.0,,d
Rostlinná slanina,963.1,1.2,15.0,1.1,15.0,2.2,0.865,3.2,7.5,,,,,,,,4.0,3.0,0.0,d
Tartines Craquantes Multi-Céréales,1599.0,2.8,2.3,0.3,9.9,0.32,0.128,2.5,78.0,,,,,,,,3.0,0.0,0.0,b
Natural Coconut Cream,147.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,4.0,3.0,0.0,c
Gourmand & Végétal Brassé Nature,311.0,0.3,4.9,4.1,0.6,0.09,0.036,,7.0,,,,,0.12,,,4.0,1.0,0.0,c
Tofu fumé,578.5,0.5,7.7,1.4,15.0,0.59,0.236,2.7,1.0,,,,,,,,4.0,0.0,0.0,a
Pringles Sare,2203.0,0.9,31.0,3.0,6.1,1.0,0.4,4.1,55.0,,,0.0,0.0,,0.0,,4.0,1.0,0.0,d
Les tranches végé haricots rouges,147.0,3.6,6.2,0.5,7.0,1.8,0.72,4.8,5.3,,,0.0,0.0,,0.0,,4.0,2.0,,c
Double concentré de tomates,525.0,9.0,0.4,0.1,4.6,0.5,0.2,3.0,24.0,,,,,,,,3.0,0.0,0.0,a
nuggets soja,986.0,0.7,12.5,0.9,13.1,0.98,0.392,5.7,15.0,,,,,,,,4.0,4.0,0.0,a
Biscottes,698.0,2.8,2.9,1.4,4.6,0.47,0.188,1.4,29.0,,,,,,,,4.0,3.0,1.0,c
Pain complet seigle,835.0,4.0,1.3,0.2,4.6,1.1,0.44,10.0,37.0,,,,,,,,3.0,0.0,0.0,b
Margarine patissière,2701.0,0.0,73.0,34.0,0.0,0.3,0.12,,2.0,,,,,,,,4.0,4.0,,d
Tartine & Cuisson 100% végétal,2331.0,0.0,63.0,17.0,0.0,0.3,0.12,0.0,0.0,,,,,,,,4.0,4.0,0.0,c
Danup fraise,59.0,5.5,1.28,1.06,1.75,0.0,0.0,0.0,10.1,,,,,0.084,0.00125,,,0.0,0.0,c
margarine la prairie 225g,2659.0,0.0,70.0,0.0,1.0,0.7,0.28,0.0,0.7,,,0.0009,,0.12,,,4.0,3.0,0.0,c
Caprice des Dieux,1379.0,0.1,30.0,21.0,15.0,1.4,0.56,,0.8,,,,,0.35,,,3.0,0.0,0.0,d
Orangensaft,182.0,8.9,0.0,0.0,0.8,0.0,0.0,0.6,8.9,,,,0.022,,,,1.0,0.0,0.0,c
PET 2L OASIS TROPICAL,120.0,6.6,0.0,0.0,0.1,0.03,0.012,0.0,6.1,,,,,,,,4.0,5.0,0.0,d
Elle & vire creme fraiche epaisse legere 12%mg poche 328g,600.0,3.8,12.0,8.4,2.8,0.1,0.04,0.0,6.4,,,,,,,,3.0,0.0,0.0,d
Crème de coco légère,720.0,1.6,16.0,15.0,1.2,0.08,0.032,1.1,5.8,,,,,,,,4.0,1.0,0.0,d
"Muesli con quinoa, chía y chocolate negro",1748.0,18.0,13.0,4.3,9.8,0.11,0.044,10.0,60.0,,,,,,,,4.0,1.0,0.0,c
Yaourt à boire fraise framboise,255.0,5.2,0.5,0.3,8.4,0.18,0.072,0.0,5.5,,,,,0.172,,,4.0,0.0,0.0,not-applicable
Pain de mie nature,1125.0,7.7,4.3,0.4,7.0,1.1,0.44,3.8,48.0,,,,,,,,4.0,0.0,0.0,c
Paysan Breton - Le Fromage Fouetté Madame Loïk - Echalote Ciboulette,999.0,2.9,23.0,17.0,5.5,1.2,0.48,,3.2,,,,,,,,3.0,0.0,0.0,d
Poms 2,1173.0,63.0,0.0,0.0,0.0,0.0,0.0,,69.0,,,,,,,,4.0,4.0,0.0,e
Double concentre de tomate,519.9,9.0,0.4,0.0,4.6,0.8,0.32,3.0,23.7,,,,,,,,3.0,0.0,0.0,a
Myrtille Intense,693.0,39.0,0.2,0.0,0.5,0.0,0.0,1.8,39.0,,,,,,,,4.0,1.0,0.0,d
Capri choco,2118.0,33.0,22.0,10.8,4.4,0.3,0.12,,71.0,,,,,,,,4.0,3.0,,e
Biscottes Complètes bio,1596.0,4.0,5.0,0.5,15.0,1.3,0.52,8.5,64.0,,,,,,,,4.0,1.0,0.0,c
Pecan Nuts,2984.0,4.1,71.4,6.8,11.2,0.01,0.004,10.0,4.2,,,0.000104,,,,0.392,1.0,0.0,0.0,a
Houmous sésame,1120.0,0.7,22.2,1.9,5.8,1.19,0.476,7.4,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,b
Organic Extra Virgin Olive Oil,3206.66666666667,0.0,86.6666666666667,16.6666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,2.0,0.0,0.0,b
Cerelac,,0.0,10.0,0.0,15.0,0.51,0.204,2.5,71.2,,,0.0,0.0,,,,,0.0,0.0,not-applicable
Cracotte fibres,1577.5,6.3,3.5,1.1,11.0,1.4,0.56,11.0,69.0,,,,,,,,4.0,0.0,1.0,c
Huile d'olive vierge extra,3370.7,0.0,91.1,12.7,0.0,0.0,0.0,0.0,0.0,,,,,,,,2.0,0.0,0.0,b
Pasta sauce,235.3,4.5,2.8,0.5,1.6,0.81,0.00081,1.8,5.3,0.0,0.0,4.5e-05,0.011,0.018,0.0007,0.33,4.0,0.0,0.0,a
Leben,170.5,0.0,2.4,1.7,3.1,0.0,0.0,,4.7,,,,,0.13,,,1.0,0.0,,b
Beurre de Cacahuètes Extra-Crunchy,2525.0,10.3,43.9,9.3,27.5,0.82,0.328,7.9,15.6,,,,,,,,3.0,0.0,0.0,c
filets de sardines sans peau sans arêtes à l'huile végétale,1063.4,0.2,16.1,2.11,19.8,1.1,0.44,3.0,6.3,,,,,,,,3.0,0.0,,c
Chèvre piment d'Espelette,2186.0,2.6,31.0,2.6,6.3,1.6,0.64,4.8,52.0,,,0.0,0.0,,0.0,,4.0,0.0,0.0,d
Epinards hachés à la crème fraîche,326.0,1.4,4.4,2.8,3.5,0.6,0.24,1.7,5.3,,,0.0,0.0,,0.0,,3.0,0.0,0.0,b
Avena crunchy,1645.0,4.6,5.8,1.0,13.0,0.2,0.08,11.0,66.0,,,,,,,,3.0,1.0,0.0,a
Classic,4.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.3,,,,,,,,1.0,0.0,,unknown
Tartines craquantes Sarrasin,1579.0,3.6,2.8,0.6,12.0,0.5,0.2,3.8,73.0,,,,,,,,3.0,0.0,,b
Crème glacée Vanille de Madagascar,773.0,17.0,8.4,5.7,2.4,0.11,0.044,,24.0,,,,,,,,4.0,4.0,0.0,d
Pringles sour cream & onion,2167.0,2.0,30.0,2.9,6.3,1.1,0.44,4.9,54.0,,,,,,,,4.0,8.0,0.0,d
Knusper Müsli Schoko,1874.0,13.7,16.2,5.8,10.9,0.41,0.164,9.1,59.8,,,,,,,,4.0,1.0,0.0,c
Délicia - confiture d'abricot,1157.0,,0.12,,0.41,,,,67.36,,,,,,,,3.0,1.0,0.0,unknown
Wasa tartine croustillante sensation aux graines de chia & touche de sel 245g,1427.0,0.5,3.0,0.4,10.0,1.2,0.48,20.0,58.0,,,,,,0.0028,,3.0,0.0,,b
Boisson Amande,123.0,3.3,1.2,0.2,0.5,0.06,0.024,,4.6,,,,,,,,3.0,0.0,0.0,c
Tortitas de maíz,1560.0,1.0,1.66666666666667,0.333333333333333,7.66666666666667,0.7,0.276666666666667,1.0,80.0,,,,,,,,3.0,0.0,0.0,c
L'extra craquante nature,2190.0,0.61,34.0,2.8,5.9,1.3,0.52,4.5,47.0,,,,,,,,3.0,0.0,0.0,d
Natural con Coco,224.5,2.1,3.0,1.1,3.9,0.32,0.128,0.8,2.4,,,,,0.12,,,4.0,5.0,0.0,b
Cassegrain - Lentilles préparées 4/4,394.0,0.5,0.5,0.1,6.6,0.76,0.304,3.1,14.0,,,,,,,,4.0,1.0,0.0,b
Amande chocolat,245.9,7.2,1.9,0.4,0.8,0.08,0.032,0.7,9.2,,,,,,,,4.0,2.0,0.0,e
Copos de trigo espelta integral 0%,1529.0,1.9,2.7,0.2,14.6,0.78,0.312,8.8,66.0,,,,,,,,3.0,0.0,0.0,a
Ristorante Pizza Vegetale,796.2,3.5,7.9,2.6,6.7,0.97,0.388,2.0,22.0,,,,,,,,3.0,3.0,0.0,c
Petits pains grillés blé complet,1717.0,4.2,10.0,0.9,10.0,1.1,0.44,6.9,66.0,,,,,,,,4.0,1.0,0.0,c
